username,id,access_hash
Rakhmonqulova_M,1474696679,-3727087571104519589
,7779603384,2739107731915384894
,7982990592,70146193802046664
,8057967200,8690483483483590139
,6584660026,-9050443177657775215
,5482623181,-6877745773322126038
,6406782210,9028563488284971284
Rustamova_nazokat_69,240837436,5168380510600988812
,1930692352,1474966868201754083
,5122484240,-10434519053599780
,5183585437,-6843414340805246548
,6785423234,4156304065150723559
,7399465187,-3939846254932264230
,657939256,-356442833471788768
,5961564347,3538126072489487453
,6923991931,-1437021181285934411
,7634133967,-2155791564674593495
,5045250184,833209757454718918
,7722998833,3754379881840452429
,8042374140,-5290509010739207071
,8412065416,133346051995729742
,8344967147,-6979493366694484029
,7625977416,-667413552652136218
,624332974,8797303866958503260
,7393096785,2897008290330036682
,8060546782,-6612017087083050416
biologist_PhD,977325738,4385028637656426666
,5364488804,1910799517434627027
MAFTUNAEZOZA,7846566648,-4182908407320490524
abdsaidovva,5785266727,3867550075472884067
,7805287912,-614823211521913189
m_008m,1876249653,-3151069286636811638
,7150843346,58830785606713214
,8229176749,-4740645452393671024
,329518446,-3329097808442678942
Mirfayoz2103,1419172902,-616843745911340137
,5841907158,4333395193289598967
,7607547474,-3062446817843418043
,6263350820,2614145915973246781
Nigora_Parfum_Sirdaryo,1005297557,126882948201582382
,1994776629,7128584978998169138
,1115435631,2555726610995216795
,6463006283,1202227825095892161
,1145999856,-8491671878512513546
,431240591,6610817660172804922
,5466283652,313704193389984342
,5937217058,-5791138973811003650
,1235998579,2059657282857615227
madiinwi,7581911107,8227004845199288158
,6922313469,3286232822463828112
,8394517043,5989398464947305481
,8785814380,4007073451847108440
pokiza_ad,7215156706,3884391518069366487
,5262500557,1444846045890574464
ruxsh0na1906,7895655319,-6793801396245459783
Dvltvna21,7938875804,-6395935295148513048
,7871477723,5488904224718178377
,8506454472,-85252469095446679
Madinabonu_Daminova,7291333893,8877428539973418647
A92H99x20r22e24,5618954310,673359830036636738
,7721970526,-3671453717567189733
TAIRJONOVNA5NTZ,7741735433,-1945236111275934200
,1181157675,-2927169759129631927
,6769192627,8291301982345222519
Ch12765,1609991460,7353227064748769189
,5803522605,-1878747272966295765
Salohiddinovaa_S,7920114083,-4058979346794174969
,8755051626,1566115379561885688
shoxsanam2337,5942668831,8914951487121201395
,719505069,7683174986442526729
,5090108390,3442821172304523484
,5376231896,-8098950798834456781
,6051262613,2434610859549514794
,8502455695,-8787864547499753631
,5650438872,-6970735272639358405
,7523673975,-1516722109387305114
,8528009472,-7047485665056226891
,8784281404,3380215837037016838
,950236455,-1637826467233354202
,6789932347,2677890284917275217
,8067223659,1442258441259964687
,713505029,-66890836951511735
S_kenjabekova,6700451854,5399375270939195066
,477577060,-3614937253325079062
,906534779,-6619072780165134991
MATLUBA_ABDUQODIROVA,1566316216,-2910933027634505000
Rakhimberdiyev_1970,1656193663,2925652221285083439
,1907956381,-8665765886202275245
,5604165485,2317736533287294901
,5677250542,464111968003708291
,1176392985,3113797574703638747
,1269167942,6164484324840752173
ibragimovagulchexra,1206616455,7688228443810532930
,7392421248,-8816847473576219800
,8427986045,-6534785616713360724
Dilyorcha,1994828492,-3897828105444106214
yunusova_dilnoza_88,6747695667,-7299235337696050790
,6877872503,5683895431177547925
,7247408474,-4534530629506883923
ShukronaGafurovna,7846423411,706694713792285467
,8466438258,-2826979416829202444
elenora_r,6475203087,5820594161810425920
,7269241180,-2510046844290314898
,8627184707,-4975615011725529167
,8657090331,5091287314384977205
,6607597406,4037577730596902577
,7459968289,-1884599510658228374
,8452486053,206699929566369755
,1873459378,7005676819571283542
,6236489646,1742089396553714966
,7951608316,-3354958696474350073
,8447810312,7234582505075031789
ismatow0212,2114497583,5555550786713158926
,5737524182,-7024162524280454315
,8437580003,-2860684891639381396
OptomBujiteryaParfimeriya,8687923099,273161248203114803
menejrxonim_1,6467853197,6581198146274293264
Faberlic_directorr,8519423228,-4689649070250916660
,8325009587,1951568113754629637
,8279644403,5943291292262903013
,588187897,-1125953045248026697
,1232916719,-390787188928066067
,2045617471,8550822735884013625
Davronvna28,5926510389,-2846697149267829431
Norqulovazarifa,6308834968,-774062062419952527
z_SaodatgulDaminova_634,8206498551,-546767051714504551
,8550123848,-8824321096466565050
,6086747695,-8932299825857415145
,7808210993,-8065858183870376698
,7007840132,5580500924468196185
,8243176424,1297379783044392220
,7105381912,-2249654546872489294
,7651448559,-2218490778527904342
yakhyakhonova_n,8465895622,2633932162891581626
Baxtiyorovna_o2,8479098735,7373646505075486829
,1134782545,6721817297411002600
,548105945,-295756754899575278
,1246788138,-2015303932773430158
,6417599564,7796029440349252817
,7260687731,7774994532912387664
dgjkkvdfjj,7604047497,8296439955938806975
,7837184142,187946508292126966
,6535584071,8821865874674248644
,1460107655,7232167362947346529
lena_o02,7175414827,3145251218043666357
Xotira_2018,7122566018,-1683146382747654658
,8669263435,529221600691613531
Eshniyozovabarno,8167319546,1013982902064928973
,7571917105,-4424329652583111974
,7984711962,2743553675437319204
,7503491048,804788407959920474
,8239559600,4104557921575706838
,8078991535,3763979168832003365
,6547785964,7586014174889379972
,1459194824,-1405519935554159295
Dil94nura,6862918994,6993949539718808455
,8442036806,2861308479730966884
,902380830,148559024755608618
,7820487679,4293565011556767365
Ergashev_06_06ra3,6568402534,6846589138837219851
,7792056203,-8973035553335156719
,8732523695,-4692883523747579614
,8539042010,-5462377696152894159
,411310843,-850116066240524296
,596887008,8934024814496300306
,5183095816,134116692183781239
,5965476484,6515477191823891318
,8019370577,3005535721236843250
,8684759189,-4783728046854113464
,8349387648,-9218868104654161143
WW3660,7474973131,5542850753522055554
Marguba_soliboyeva78,803644878,956694297522676973
,6572582584,5567606565021363652
,7807462060,-8996235089905117862
,5856488770,2037159931218109277
,5400361838,-8707483002786920910
,6757740204,5140382999151901872
,8451721920,-7370523960513407302
,8331006296,4591417528839119543
,6619325576,3498503692779619904
Dhdjdkkfkjrjrk,8642429442,4997229120667804866
,266597552,-7060558689586723416
,8524469937,-2124541905988168611
karimovazarnigor_07,8306015325,-307539877668802446
,6565452236,-3469720483552979497
,519959946,4497810360792504855
,8454677054,5252515419468092650
,8470418452,7046091192578628670
,8606612300,-8457515184315243405
Zhsbnsjsjs,5300172927,-5689978429294279779
,6685084531,5294383260226666195
,8305566062,-3190349072095763019
Hdjdnsnsnnsnsns,601251357,-8048688161533606986
,853261964,-9191939885503229387
Sitow97,942778814,-4799202401563961756
,1666036522,3566289787481108208
,1695284992,8676895570303117846
,6164734648,2352904768340499907
,6373954503,-1939409082513654064
MunisaAzizaJavohir3737,6417843444,6873577011388156813
,6437302010,5173872329034102745
,6478305822,4150524457252121931
,6587512045,2884991421396839669
Odamqowuvchi01,6592952697,-4639016567110797781
,6599036910,-5737802658560125602
Sam4673,6611221093,-7891400409419581775
,7203798985,1050622506082330102
,7352923723,-4977428391160652140
,7794236209,-4281892108256223390
,8061674977,-8940008615562019808
